Date,Close,High,Low,Open,Volume,Return,MA_7,MA_21,MA_50,Volatility_7,Volatility_21,Volatility_50,RSI,MACD,Target
2020-03-16,58.47034454345703,62.5428168089279,57.93684117686896,58.40757727472599,322423600,-0.12864670080530394,64.98513357979911,70.0631110781715,73.45611862182618,0.09101398801657824,0.06014515867823158,0.0411628560751724,40.05291739959353,-3.2029349836131047,1
2020-03-17,61.041290283203125,62.1879532458274,57.55059398806874,59.74978006097213,324056000,0.04397008021451421,63.737765720912385,69.23440769740513,73.2443312072754,0.09456122559189974,0.061340968278181356,0.0416917277426396,41.59306903044498,-3.4002962022773318,0
2020-03-18,59.5469970703125,60.3508711155952,57.24159305699179,57.88131450093201,300233600,-0.024480039756004546,63.0652825491769,68.40294501894996,72.99124252319336,0.09056634225287857,0.061397126625995516,0.04178053860378826,43.998916148887126,-3.63537700080866,0
2020-03-19,59.09075164794922,61.03646337436918,58.56690646649194,59.72081496454535,271857200,-0.007661938381620659,61.66652134486607,67.49664778936477,72.73582061767578,0.0836871926704721,0.06113856011319592,0.041785119582895304,43.661281940604226,-3.814523962116496,0
2020-03-20,55.33934020996094,60.79264444451166,55.03999854094989,59.67011594836406,401693200,-0.06348559348742822,60.073602948869976,66.4498770577567,72.38225051879883,0.08529873683584072,0.062182219153650777,0.04255001398158576,33.86071721999279,-4.2106688019309075,0
2020-03-23,54.1636962890625,55.1606938155284,51.3247927605554,55.059304798459365,336752800,-0.021244270647932773,59.25076184953962,65.43046460832868,71.9741487121582,0.07855203533767742,0.06217325747364543,0.042446850091977864,34.60244125455873,-4.566837421664232,1
2020-03-24,59.597694396972656,59.79323063321941,56.56083807077307,57.05812866753022,287531200,0.10032546669100695,58.178587777274,64.84075055803571,71.67135528564454,0.07328543541109486,0.06640257306447542,0.04500072974800856,37.30453259275763,-4.360361848212733,0
2020-03-25,59.26939010620117,62.34245572079971,58.97487753279941,60.53192941719469,303602000,-0.005508674355499288,58.2927371433803,64.35150636945453,71.33006141662598,0.05338542276514246,0.06611336049882494,0.04485768591914761,38.79644726766366,-4.175092019294176,1
2020-03-26,62.38833236694336,62.446266859922645,59.47217711965345,59.51080257065681,252087200,0.05262315429859399,58.48517172677176,63.95824904668899,71.07176162719726,0.05457559190347097,0.06718529833224653,0.04554313316945914,43.065692855426,-3.733553687868074,0
2020-03-27,59.805301666259766,61.767909526223264,59.638732669554486,61.01473181958192,204216800,-0.041402464253912696,58.52207238333566,63.66189702351888,70.76825508117676,0.056410326235536636,0.0662838483299818,0.045870211976265444,45.5784166191323,-3.551125208453527,1
